117菊次郎的夏天信息：导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus...1999 / 日本 / 剧情喜剧
118驯龙高手信息：导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...2010 / 美国 / 喜剧动画奇幻冒险
119幸福终点站信息：导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...2004 / 美国 / 喜剧剧情爱情
120请以你的名字呼唤我信息：导演:卢卡·圭达尼诺LucaGuadagnino   主演:蒂莫西·柴勒梅德Timothée...2017 / 意大利法国巴西美国 / 剧情爱情同性
121神偷奶爸信息：导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:...2010 / 美国法国 / 喜剧动画冒险
122杀人回忆信息：导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun...2003 / 韩国 / 犯罪剧情悬疑惊悚
123借东西的小人阿莉埃蒂信息：导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...2010 / 日本 / 动画奇幻冒险
124哈利·波特与死亡圣器(下)信息：导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...2011 / 美国英国 / 剧情悬疑奇幻冒险
125小森林 冬春篇信息：导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...2015 / 日本 / 剧情
126七武士信息：导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔...1954 / 日本 / 动作冒险剧情
127岁月神偷信息：导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍...2010 / 香港中国大陆 / 剧情家庭
128怪兽电力公司信息：导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约...2001 / 美国 / 儿童喜剧动画奇幻冒险
129真爱至上信息：导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林...2003 / 英国美国法国 / 喜剧剧情爱情
1307号房的礼物信息：导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi...2013 / 韩国 / 剧情喜剧家庭
131萤火虫之墓信息：导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子1988 / 日本 / 动画剧情战争
132谍影重重3信息：导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...2007 / 美国德国 / 动作悬疑惊悚
133电锯惊魂信息：导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾...2004 / 美国 / 悬疑惊悚恐怖
134萤火之森信息：导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...2011 / 日本 / 剧情爱情动画奇幻
135疯狂原始人信息：导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演...2013 / 美国 / 喜剧动画冒险
136东邪西毒信息：导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/林青霞Brigitte...1994 / 香港台湾 / 剧情动作爱情武侠古装
137喜宴信息：导演:李安AngLee   主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...1993 / 台湾美国 / 剧情喜剧爱情同性家庭
138贫民窟的百万富翁信息：导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan   主演:戴夫...2008 / 英国美国 / 剧情爱情
139超能陆战队信息：导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特...2014 / 美国 / 喜剧动作科幻动画冒险
140唐伯虎点秋香信息：导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈...1993 / 香港 / 喜剧爱情古装
141蝙蝠侠：黑暗骑士崛起信息：导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...2012 / 美国英国 / 剧情动作科幻犯罪惊悚
142记忆碎片信息：导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/...2000 / 美国 / 犯罪剧情悬疑惊悚
143黑天鹅信息：导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔莉·波特曼Natalie...2010 / 美国 / 剧情惊悚
144英雄本色信息：导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国...1986 / 香港 / 动作犯罪
145心迷宫信息：导演:忻钰坤YukunXin   主演:霍卫民WeiminHuo/王笑天XiaotianWang...2014 / 中国大陆 / 剧情犯罪悬疑
146雨人信息：导演:巴瑞·莱文森BarryLevinson   主演:达斯汀·霍夫曼DustinHoffman...1988 / 美国 / 剧情
147傲慢与偏见信息：导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·...2005 / 法国英国美国 / 剧情爱情
148荒蛮故事信息：导演:达米安·斯兹弗隆DamiánSzifron   主演:达里奥·葛兰帝内提Darío...2014 / 阿根廷西班牙 / 剧情喜剧犯罪
149无人知晓信息：导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱...2004 / 日本 / 剧情
150卢旺达饭店信息：导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥...2004 / 英国南非意大利美国 / 剧情历史战争
151纵横四海信息：导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...1991 / 香港 / 剧情喜剧动作犯罪
152时空恋旅人信息：导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格利森DomhnallGl...2013 / 英国 / 剧情爱情奇幻
153血战钢锯岭信息：导演:梅尔·吉布森MelGibson   主演:安德鲁·加菲尔德AndrewGarfield/...2016 / 美国澳大利亚 / 剧情传记历史战争
154教父3信息：导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...1990 / 美国 / 剧情犯罪
155海洋信息：导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...2009 / 法国瑞士西班牙美国阿联酋 / 纪录片
156玩具总动员3信息：导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...2010 / 美国 / 喜剧动画奇幻冒险
157海边的曼彻斯特信息：导演:肯尼斯·罗纳根KennethLonergan   主演:卡西·阿弗莱克CaseyAffle...2016 / 美国 / 剧情家庭
158花样年华信息：导演:王家卫KarWaiWong   主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...2000 / 香港 / 剧情爱情
159完美的世界信息：导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...1993 / 美国 / 剧情犯罪
160达拉斯买家俱乐部信息：导演:让-马克·瓦雷Jean-MarcVallée   主演:马修·麦康纳MatthewMcCon...2013 / 美国 / 剧情传记同性
161虎口脱险信息：导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...1966 / 法国英国 / 喜剧战争
162恋恋笔记本信息：导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/...2004 / 美国 / 剧情爱情
163你看起来好像很好吃信息：导演:藤森雅也MasayaFujimori   主演:山口胜平KappeiYamaguchi/爱河...2010 / 日本 / 剧情动画儿童
164燃情岁月信息：导演:爱德华·兹威克EdwardZwick   主演:安东尼·霍普金斯AnthonyHopki...1994 / 美国 / 剧情爱情西部家庭
165二十二信息：导演:郭柯KeGuo   主演:2015 / 中国大陆 / 纪录片
166雨中曲信息：导演:StanleyDonen/GeneKelly   主演:GeneKelly/DonaldO'Connor/...1952 / 美国 / 喜剧歌舞爱情
167冰川时代信息：导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演...2002 / 美国 / 喜剧动画冒险
168我是山姆信息：导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi...2001 / 美国 / 剧情家庭
169穿越时空的少女信息：导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya...2006 / 日本 / 剧情爱情科幻动画
